@relation train-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R6

@attribute pclass numeric
@attribute sex numeric
@attribute age numeric
@attribute sibsp numeric
@attribute fare numeric
@attribute survived {0,1}

@data
0.5,0,0.334004,0,0.020495,1
1,1,0.371701,0,0.030254,0
1,1,0.409399,0,0.015176,0
0.5,0,0.070118,0,0.064412,1
1,1,0.208344,0.125,0.013769,0
0.5,1,0.421965,0,0.025374,0
0.5,1,0.623021,0,0.025374,0
0,1,0.334004,0.125,0.103644,1
1,1,0.246042,0,0.016908,0
0.5,0,0.371701,0.375,0.040989,1
1,0,0.371701,0,0.015103,1
0.5,1,0.308872,0.125,0.050749,0
1,0,0.308872,0.125,0.015469,0
0,0,0.359135,0,0.412503,1
1,1,0.132948,0,0.036671,0
0.5,1,0.371701,0,0,0
0.5,1,0.28374,0,0.025374,0
0.5,1,0.28374,0,0.025374,0
1,1,0.352852,0,0.031425,0
1,0,0.597889,0.125,0.067096,0
0,1,0.434531,0,1,1
1,1,0.371701,0,0.015412,0
1,1,0.371701,0,0.015412,0
0,1,0.371701,0,0.058556,1
0,1,0.447097,0.125,0.153905,0
0,0,0.258608,0.25,0.512122,1
1,1,0.296306,0.125,0.031425,0
1,1,0.384267,0,0.015469,1
0,1,0.87434,0.125,0.138583,0
1,1,0.195778,0.125,0.039525,0
0.5,0,0.371701,0,0.025374,1
0,1,0.233476,0.125,0.103644,0
1,1,0.384267,0,0.015127,0
0.5,0,0.044986,0.125,0.044893,1
1,1,0.070118,0,0.02435,1
1,1,0.409399,0,0.018543,0
1,1,0.28374,0,0.015412,0
0.5,0,0.597889,0.125,0.126872,1
0.5,1,0.003141,0.125,0.028302,1
1,1,0.346569,0,0.015216,0
0.5,1,0.22091,0,0.022447,0
1,1,0.421965,0,0.015713,0
0,0,0.409399,0,0.168837,1
1,1,0.371701,0,0.028302,0
1,1,0.509927,0,0.013907,0
1,1,0.246042,0,0.01411,1
0,0,0.447097,0.125,0.234224,1
1,1,0.195778,0,0.015176,0
0,0,0.635587,0.125,0.152164,1
0,1,0.371701,0,0.077294,0
1,0,0.377984,0,0.015127,0
1,1,0.371701,0.125,0.047138,0
1,1,0.396833,0,0.016323,0
1,1,0.296306,0,0.018543,0
1,1,0.597889,0,0.01533,0
0.5,0,0.710983,0,0.020495,0
1,1,0.371701,0,0.014102,0
0.5,0,0.673285,0.125,0.044893,1
1,1,0.22091,0,0.015127,0
1,1,0.371701,0,0.015127,0
1,0,0.057552,0,0.02435,1
1,1,0.371701,0,0.015103,0
0,0,0.535059,0,0.412503,1
1,0,0.15808,0,0.01411,1
0,0,0.208344,0.125,0.111257,1
0,1,0.359135,0,0.058556,0
1,1,0.371701,0.125,0.045771,0
1,1,0.308872,0,0.013761,0
1,1,0.308872,0,0.014151,0
1,0,0.22091,0,0.014631,1
1,1,0.09525,0.5,0.056848,0
1,1,0.007288,0.125,0.04016,1
0,1,0.572757,0,0.154588,0
1,1,0.371701,0,0.015127,0
0.5,1,0.195778,0,0.050749,0
1,0,0.371701,1,0.135753,0
0,1,0.371701,0,0.059914,0
1,1,0.308872,0,0.015412,0
0.5,1,0.484795,0,0.025374,0
0,0,0.610455,0,0.05061,1
1,0,0.384267,0,0.016949,1
1,1,0.371701,0,0.01411,0
1,0,0.371701,0.125,0.047138,0
0.5,1,0.421965,0,0.025374,0
0.5,0,0.384267,0.125,0.051237,1
0,1,0.132948,0.125,0.234224,1
1,1,0,0,0.016623,1
1,1,0.334004,0,0.013614,1
1,1,0.384267,0,0.015176,0
0,1,0.484795,0,0,0
1,0,0.22091,0,0.015176,0
0.5,1,0.484795,0,0.025374,0
0,0,0.409399,0.125,0.103644,1
1,1,0.321438,0,0.015395,0
1,1,0.484795,0,0.047138,0
0.5,1,0.434531,0,0.020495,0
1,0,0.070118,0.5,0.061045,0
1,1,0.377984,0,0.015713,0
0,1,0.371701,0,0,0
1,0,0.28374,0,0.015469,0
0.5,1,0.384267,0.125,0.072227,0
1,1,0.535059,0,0.01259,0
1,1,0.120382,0.375,0.054457,0
0,0,0.648153,0.125,0.1825,1
1,1,0.334004,0,0.016908,1
0,1,0.472229,0,0,0
1,0,0.334004,0,0.02435,1
1,1,0.019854,0.5,0.077465,0
1,1,0.371701,0,0.013565,0
1,1,0.371701,0,0.110272,0
0.5,1,0.007288,0,0.072227,1
1,1,0.371701,0,0.015127,1
0,0,0.773813,0,0.15615,1
1,0,0.183212,0.125,0.028213,1
0.5,1,0.005152,0.125,0.036598,1
1,1,0.371701,0,0.01411,0
1,1,0.28374,0,0.01533,0
1,1,0.22091,0,0.016201,0
0,0,0.484795,0.125,0.162314,1
1,1,0.258608,0,0.016908,0
1,1,0.371701,0,0.015713,0
1,1,0.396833,0,0.110272,1
0,1,0.371701,0,0.057971,1
1,1,0.246042,0,0.015469,0
0.5,1,0.195778,0,0.020495,0
0,0,0.371701,0,0.060508,1
1,1,0.428248,0,0.012565,0
1,1,0.208344,0,0.016908,0
1,1,0.522493,0,0.014737,0
1,1,0.371701,1,0.135753,0
1,1,0.434531,0,0.015412,0
0.5,1,0.346569,0,0.064412,0
0,0,0.371701,0.125,0.17392,1
1,1,0.044986,0.5,0.061045,0
1,1,0.924604,0,0.015176,0
1,0,0.107816,0.125,0.029758,0
0,0,0.195778,0,0.076904,1
0.5,0,0.547625,0.125,0.050749,0
1,0,0.22091,0,0.01825,1
0,0,0.560191,0.125,0.321798,1
0,1,0.635587,0,0.051822,1
1,0,0.296306,0,0.03759,1
1,1,0.371701,0,0.01411,0
1,1,0.509927,0.25,0.027538,0
0.5,1,0.258608,0.125,0.022447,0
0,0,0.597889,0,0.05061,1
1,0,0.371701,1,0.135753,0
0.5,1,0.296306,0,0.025374,0
0.5,0,0.522493,0,0.025374,1
0.5,0,0.334004,0.125,0.02705,1
0,1,0.384267,0,0.098561,0
1,1,0.371701,0,0.018543,0
1,1,0.044986,0.125,0.021731,1
1,1,0.321438,0,0.015412,0
0,0,0.585323,0.125,0.102579,1
0,1,0.409399,0,0.009759,0
1,1,0.585323,0,0.017567,0
0.5,0,0.346569,0.125,0.046845,1
1,0,0.183212,0,0.014102,1
1,1,0.246042,0,0.019218,0
1,1,0.233476,0,0.015412,0
1,1,0.371701,0,0.015412,0
0,0,0.698417,0,0.162314,1
0.5,0,0.308872,0,0.050749,1
1,1,0.409399,0,0.015412,0
1,0,0.271174,0,0.020527,0
0.5,1,0.346569,0,0.020495,0
1,1,0.308872,0,0.013761,0
1,0,0.484795,0,0.056848,0
0.5,1,0.334004,0,0.025374,0
0,0,0.233476,0,0.058556,1
1,0,0.371701,0.125,0.045771,0
0,1,0.321438,0,0.058556,1
1,1,0.396833,0,0.015127,0
